currency,rate_date,rate_to_idr
USD,2025-01-01,15800.00
USD,2025-02-01,15920.00
USD,2025-03-01,16050.00
USD,2025-04-01,16180.00
USD,2025-05-01,16240.00
USD,2025-06-01,16310.00
USD,2025-07-01,16225.00
USD,2025-08-01,16140.00
USD,2025-09-01,16080.00
USD,2025-10-01,15990.00
USD,2025-11-01,15940.00
USD,2025-12-01,15870.00
USD,2026-01-01,15800.00
USD,2026-02-01,15760.00
USD,2026-03-01,15820.00
USD,2026-04-01,15890.00
USD,2026-05-01,15945.00
USD,2026-06-01,15985.00
IDR,2025-01-01,1.00
IDR,2025-02-01,1.00
IDR,2025-03-01,1.00
IDR,2025-04-01,1.00
IDR,2025-05-01,1.00
IDR,2025-06-01,1.00
IDR,2025-07-01,1.00
IDR,2025-08-01,1.00
IDR,2025-09-01,1.00
IDR,2025-10-01,1.00
IDR,2025-11-01,1.00
IDR,2025-12-01,1.00
IDR,2026-01-01,1.00
IDR,2026-02-01,1.00
IDR,2026-03-01,1.00
IDR,2026-04-01,1.00
IDR,2026-05-01,1.00
IDR,2026-06-01,1.00
